WKT,OBJECTID,COD_ESTACI,PromedioDe,VALORACION,UTMX,UTMY,HUSO,NOM_DEMARC
"POINT (27730.3023829435 4725520.4565934)","18",14.RW.04.070,3.91833333333,≤ 5 mg/L NO3,520500.00000000000,4709500.00000000000,"29",GC
"POINT (31622.9192962399 4727958.02037345)","19",14.RW.04.080,3.56933333333,≤ 5 mg/L NO3,524200.00000000000,4712200.00000000000,"29",GC
"POINT (32264.9720682299 4728579.53424092)","20",14.RW.04.085,3.37066666667,≤ 5 mg/L NO3,524794.77339999995,4712863.68439999968,"29",GC
"POINT (26366.6224762053 4723305.1835376)","21",14.RW.04.090,3.93333333333,≤ 5 mg/L NO3,519300.00000000000,4707200.00000000000,"29",GC
"POINT (100789.315133714 4762276.86532764)","22",14.RW.05.020,5.24800000000,> 5 - 25 mg/L NO3,590600.00000000000,4751261.00000000000,"29",GC
"POINT (102613.474662153 4759440.6089003)","23",14.RW.05.030,4.14233333333,≤ 5 mg/L NO3,592618.00000000000,4748567.00000000000,"29",GC
"POINT (93617.0379658435 4770962.42863165)","24",14.RW.05.045,2.26966666667,≤ 5 mg/L NO3,582840.94389999995,4759397.07290000003,"29",GC
"POINT (91452.0020304753 4766480.4278029)","25",14.RW.05.050,4.54633333333,≤ 5 mg/L NO3,581005.00000000000,4754781.00000000000,"29",GC
"POINT (93006.898650229 4764583.1558682)","26",14.RW.05.060,4.00466666667,≤ 5 mg/L NO3,582688.00000000000,4753003.00000000000,"29",GC
"POINT (104189.969226814 4748011.73578534)","27",14.RW.05.080,10.22700000000,> 5 - 25 mg/L NO3,595000.00000000000,4737300.00000000000,"29",GC
"POINT (89898.6824548792 4757469.24847404)","28",14.RW.05.090,5.92607692308,> 5 - 25 mg/L NO3,580100.00000000000,4745700.00000000000,"29",GC
"POINT (80887.8627080763 4766932.86959296)","29",14.RW.05.100,11.46566666670,> 5 - 25 mg/L NO3,570457.00000000000,4754479.00000000000,"29",GC
"POINT (89413.2364791055 4756298.46663876)","30",14.RW.05.110,5.35000000000,> 5 - 25 mg/L NO3,579700.00000000000,4744500.00000000000,"29",GC
"POINT (81867.2899650326 4750508.20925158)","31",14.RW.05.140,9.07833333333,> 5 - 25 mg/L NO3,572600.00000000000,4738200.00000000000,"29",GC
"POINT (68871.9909639461 4758469.06598398)","32",14.RW.05.160,11.57100000000,> 5 - 25 mg/L NO3,559100.00000000000,4745200.00000000000,"29",GC
"POINT (83513.6504280011 4731353.46818519)","33",14.RW.05.190,12.34744444440,> 5 - 25 mg/L NO3,575597.00000000000,4719250.00000000000,"29",GC
"POINT (46011.8243735997 4749348.23718061)","34",14.RW.05.200,8.40000000000,> 5 - 25 mg/L NO3,537000.00000000000,4734500.00000000000,"29",GC
"POINT (67483.0297607374 4742917.39154793)","35",14.RW.05.205,13.05300000000,> 5 - 25 mg/L NO3,558822.00000000000,4729624.00000000000,"29",GC
"POINT (63452.3079572136 4750113.99092795)","36",14.RW.05.210,10.40422222220,> 5 - 25 mg/L NO3,554300.00000000000,4736500.00000000000,"29",GC
"POINT (78129.2576685825 4732376.37599137)","37",14.RW.05.220,9.73933333333,> 5 - 25 mg/L NO3,570165.00000000000,4719887.00000000000,"29",GC
"POINT (73258.0663803642 4738088.10033239)","38",14.RW.05.230,7.05533333333,> 5 - 25 mg/L NO3,564912.00000000000,4725227.00000000000,"29",GC
"POINT (57101.2222587991 4753224.1663333)","39",14.RW.05.240,6.72866666667,> 5 - 25 mg/L NO3,547759.00000000000,4739144.00000000000,"29",GC
"POINT (59237.9991970145 4751862.73594568)","40",14.RW.05.245,8.43766666667,> 5 - 25 mg/L NO3,549982.00000000000,4737941.00000000000,"29",GC
"POINT (63687.8274226225 4752006.41373202)","41",14.RW.05.250,7.75000000000,> 5 - 25 mg/L NO3,554400.00000000000,4738400.00000000000,"29",GC
"POINT (41003.483037885 4761806.32280734)","42",14.RW.05.290,3.04766666667,≤ 5 mg/L NO3,531132.00000000000,4746539.00000000000,"29",GC
"POINT (53192.6646688947 4742186.09174418)","43",14.RW.05.300,5.13885714286,> 5 - 25 mg/L NO3,544653.00000000000,4727883.00000000000,"29",GC
"POINT (40139.0641893997 4747939.82977841)","44",14.RW.05.305,7.50144444444,> 5 - 25 mg/L NO3,531257.00000000000,4732682.00000000000,"29",GC
"POINT (39290.6459734422 4746345.86256431)","45",14.RW.05.310,7.57930000000,> 5 - 25 mg/L NO3,530526.00000000000,4731036.00000000000,"29",GC
"POINT (45646.1004466017 4749547.19787215)","46",14.RW.05.320,7.69200000000,> 5 - 25 mg/L NO3,536622.00000000000,4734672.00000000000,"29",GC
"POINT (38568.5190763965 4760533.94663991)","47",14.RW.05.330,15.65000000000,> 5 - 25 mg/L NO3,528800.00000000000,4745100.00000000000,"29",GC
"POINT (36114.0545235308 4760846.07179249)","48",14.RW.05.350,4.13266666667,≤ 5 mg/L NO3,526336.00000000000,4745236.00000000000,"29",GC
"POINT (36640.3042078792 4747604.33563905)","49",14.RW.05.380,9.93333333333,> 5 - 25 mg/L NO3,527800.00000000000,4732100.00000000000,"29",GC
"POINT (37895.4831270201 4742664.9184505)","50",14.RW.05.390,3.11533333333,≤ 5 mg/L NO3,529399.00000000000,4727275.00000000000,"29",GC
"POINT (27926.6549492819 4744540.37484349)","51",14.RW.05.400,1.47300000000,≤ 5 mg/L NO3,519349.00000000000,4728434.00000000000,"29",GC
"POINT (16676.0872504483 4739563.1576928)","52",14.RW.05.410,3.85366666667,≤ 5 mg/L NO3,508511.00000000000,4722686.00000000000,"29",GC
"POINT (17555.1518727575 4744182.7352498)","53",14.RW.05.420,2.30200000000,≤ 5 mg/L NO3,509058.00000000000,4727343.00000000000,"29",GC
"POINT (11958.9758587202 4737394.45762734)","54",14.RW.05.430,1.07533333333,≤ 5 mg/L NO3,503973.00000000000,4720195.00000000000,"29",GC
"POINT (14134.4875606768 4737136.03121021)","55",14.RW.05.440,2.33866666667,≤ 5 mg/L NO3,506155.00000000000,4720092.00000000000,"29",GC
"POINT (84568.5363252317 4778444.72570758)","56",14.RW.06.020,4.77766666667,≤ 5 mg/L NO3,573300.00000000000,4766200.00000000000,"29",GC
"POINT (69160.9214695412 4775455.74635078)","57",14.RW.06.030,9.22233333333,> 5 - 25 mg/L NO3,558178.00000000000,4762126.00000000000,"29",GC
"POINT (71966.1018814726 4776434.3674777)","58",14.RW.06.050,9.02166666667,> 5 - 25 mg/L NO3,560900.00000000000,4763300.00000000000,"29",GC
"POINT (61600.5289119117 4784371.37771798)","59",14.RW.06.060,9.74166666667,> 5 - 25 mg/L NO3,550018.00000000000,4770459.00000000000,"29",GC
"POINT (59530.435232683 4791893.72792507)","60",14.RW.06.075,4.13966666667,≤ 5 mg/L NO3,547420.58230000001,4777796.54849999957,"29",GC
"POINT (65551.3077607452 4769292.36337122)","61",14.RW.06.080,11.13666666670,> 5 - 25 mg/L NO3,555025.00000000000,4755735.00000000000,"29",GC
"POINT (53552.9135511413 4790812.12438971)","62",14.RW.06.100,4.90571428571,≤ 5 mg/L NO3,541550.00000000000,4776293.00000000000,"29",GC
"POINT (52518.3735839595 4787238.19492379)","63",14.RW.06.110,5.88000000000,> 5 - 25 mg/L NO3,540776.00000000000,4772663.00000000000,"29",GC
"POINT (55483.4393594791 4772188.78673274)","64",14.RW.06.120,9.70442857143,> 5 - 25 mg/L NO3,544800.00000000000,4757900.00000000000,"29",GC
"POINT (45941.2775755918 4786398.73073055)","65",14.RW.06.130,10.69066666670,> 5 - 25 mg/L NO3,534292.00000000000,4771358.00000000000,"29",GC
"POINT (49247.8940705944 4769318.6677634)","66",14.RW.06.140,9.87450000000,> 5 - 25 mg/L NO3,538800.00000000000,4754600.00000000000,"29",GC
"POINT (44975.4588757752 4776071.20012509)","67",14.RW.06.150,9.30633333333,> 5 - 25 mg/L NO3,534068.00000000000,4761014.00000000000,"29",GC
"POINT (37810.4226686819 4778591.00568424)","68",14.RW.06.165,7.12500000000,> 5 - 25 mg/L NO3,526760.00000000000,4763010.00000000000,"29",GC
"POINT (40391.2784575303 4771962.92222333)","69",14.RW.06.180,9.88715384615,> 5 - 25 mg/L NO3,529800.00000000000,4756600.00000000000,"29",GC
"POINT (35348.0511401639 4766297.26567947)","70",14.RW.06.185,9.52055555556,> 5 - 25 mg/L NO3,525186.19629999995,4750604.47510000039,"29",GC
"POINT (31399.7887261827 4773213.98386636)","71",14.RW.06.190,6.45933333333,> 5 - 25 mg/L NO3,520766.00000000000,4757204.00000000000,"29",GC
"POINT (31639.6400733557 4766256.48631825)","72",14.RW.06.200,5.54933333333,> 5 - 25 mg/L NO3,521500.00000000000,4750300.00000000000,"29",GC
"POINT (29495.2395329689 4764145.99589068)","73",14.RW.06.210,8.06000000000,> 5 - 25 mg/L NO3,519517.00000000000,4748048.00000000000,"29",GC
"POINT (29008.3849525411 4758755.28832326)","74",14.RW.06.220,4.76266666667,≤ 5 mg/L NO3,519416.00000000000,4742651.00000000000,"29",GC
"POINT (20293.9356012633 4753797.03491107)","75",14.RW.06.250,7.86333333333,> 5 - 25 mg/L NO3,511100.00000000000,4737100.00000000000,"29",GC
"POINT (22221.8341472092 4755452.97594163)","76",14.RW.06.260,10.82166666670,> 5 - 25 mg/L NO3,512900.00000000000,4738884.00000000000,"29",GC
"POINT (14911.0266026697 4748810.21291603)","77",14.RW.06.270,1.77366666667,≤ 5 mg/L NO3,506100.00000000000,4731758.00000000000,"29",GC
"POINT (5812.56696713791 4739431.84154485)","78",14.RW.06.280,2.01133333333,≤ 5 mg/L NO3,497716.00000000000,4721786.00000000000,"29",GC
"POINT (15042.3558769186 4758340.52931435)","79",14.RW.06.290,2.46366666667,≤ 5 mg/L NO3,505554.00000000000,4741246.00000000000,"29",GC
"POINT (9209.63581819815 4748100.76053626)","80",14.RW.06.300,2.25366666667,≤ 5 mg/L NO3,500480.00000000000,4730648.00000000000,"29",GC
"POINT (11073.9780815052 4743391.8247723)","81",14.RW.06.310,1.62733333333,≤ 5 mg/L NO3,502668.00000000000,4726097.00000000000,"29",GC
"POINT (30401.1814711815 4779367.45852706)","82",14.RW.07.010,5.39066666667,> 5 - 25 mg/L NO3,519334.00000000000,4763254.00000000000,"29",GC
"POINT (17374.3917001609 4779040.66683934)","83",14.RW.07.020,18.75000000000,> 5 - 25 mg/L NO3,506400.00000000000,4762000.00000000000,"29",GC
"POINT (11711.4209016202 4778589.97175574)","84",14.RW.07.030,8.94000000000,> 5 - 25 mg/L NO3,500800.00000000000,4761148.00000000000,"29",GC
"POINT (9442.26497794979 4776391.64222995)","85",14.RW.07.040,8.43066666667,> 5 - 25 mg/L NO3,498700.00000000000,4758800.00000000000,"29",GC
"POINT (2121.53838643874 4770394.8117617)","86",14.RW.07.070,6.89042857143,> 5 - 25 mg/L NO3,491847.00000000000,4752315.00000000000,"29",GC
"POINT (3572.36242405401 4768705.12179371)","87",14.RW.07.100,4.15888888889,≤ 5 mg/L NO3,493410.00000000000,4750738.00000000000,"29",GC
"POINT (-4760.84131394449 4776634.11486613)","88",14.RW.07.110,4.53633333333,≤ 5 mg/L NO3,484559.00000000000,4758029.00000000000,"29",GC
"POINT (4092.61204442295 4785925.99960567)","89",14.RW.08.010,3.08085714286,≤ 5 mg/L NO3,492700.00000000000,4767900.00000000000,"29",GC
"POINT (347.299126569531 4784183.51928284)","90",14.RW.08.020,3.53946153846,≤ 5 mg/L NO3,489100.00000000000,4765900.00000000000,"29",GC
"POINT (-7819.5339554181 4780053.59351231)","91",14.RW.08.030,3.30000000000,≤ 5 mg/L NO3,481274.00000000000,4761211.00000000000,"29",GC
"POINT (13629.0373540875 4795497.62984149)","92",14.RW.09.010,7.15000000000,> 5 - 25 mg/L NO3,501500.00000000000,4778100.00000000000,"29",GC
"POINT (13273.954506874 4788400.18137083)","93",14.RW.09.020,10.06300000000,> 5 - 25 mg/L NO3,501654.00000000000,4771016.00000000000,"29",GC
"POINT (3181.15829927998 4794237.51961872)","94",14.RW.09.030,6.90669230769,> 5 - 25 mg/L NO3,491200.00000000000,4776100.00000000000,"29",GC
"POINT (8468.85247709783 4787480.22755257)","95",14.RW.09.040,3.02466666667,≤ 5 mg/L NO3,496941.00000000000,4769758.00000000000,"29",GC
"POINT (11386.3342046416 4795184.25021267)","96",14.RW.09.050,7.57733333333,> 5 - 25 mg/L NO3,499292.00000000000,4777628.00000000000,"29",GC
"POINT (-3582.07614789205 4789014.25724518)","97",14.RW.09.070,6.99900000000,> 5 - 25 mg/L NO3,484848.00000000000,4770423.00000000000,"29",GC
"POINT (3843.27709048556 4797502.43887296)","98",14.RW.09.090,0.58100000000,≤ 5 mg/L NO3,491625.00000000000,4779394.00000000000,"29",GC
"POINT (46438.3008136968 4802989.49684502)","99",14.RW.10.020,9.35333333333,> 5 - 25 mg/L NO3,533600.00000000000,4787900.00000000000,"29",GC
"POINT (39280.1445791757 4801293.33131854)","100",14.RW.10.030,8.93344444444,> 5 - 25 mg/L NO3,526600.00000000000,4785700.00000000000,"29",GC
"POINT (35250.4585354531 4799773.87325267)","101",14.RW.10.040,8.25000000000,> 5 - 25 mg/L NO3,522700.00000000000,4783900.00000000000,"29",GC
"POINT (30859.1632581347 4795017.07952301)","102",14.RW.10.050,7.86100000000,> 5 - 25 mg/L NO3,518672.00000000000,4778854.00000000000,"29",GC
"POINT (25606.0040837804 4812301.91160872)","103",14.RW.10.060,17.48933333330,> 5 - 25 mg/L NO3,512209.00000000000,4795671.00000000000,"29",GC
"POINT (22128.4582077438 4803231.47178759)","104",14.RW.10.070,9.96387500000,> 5 - 25 mg/L NO3,509400.00000000000,4786400.00000000000,"29",GC
"POINT (20821.673775832 4802704.18863134)","105",14.RW.10.080,8.00433333333,> 5 - 25 mg/L NO3,508138.00000000000,4785782.00000000000,"29",GC
"POINT (73461.6458732939 4802853.24403382)","106",14.RW.11.010,9.12500000000,> 5 - 25 mg/L NO3,560500.00000000000,4789700.00000000000,"29",GC
"POINT (71200.9616177608 4804222.75596624)","107",14.RW.11.020,4.92000000000,≤ 5 mg/L NO3,558152.00000000000,4790901.00000000000,"29",GC
"POINT (68276.4793525546 4800084.32702282)","108",14.RW.11.030,9.59333333333,> 5 - 25 mg/L NO3,555538.00000000000,4786573.00000000000,"29",GC
"POINT (66668.6063399133 4806336.74827101)","109",14.RW.11.040,6.53738461538,> 5 - 25 mg/L NO3,553490.00000000000,4792680.00000000000,"29",GC
"POINT (70877.0159173345 4803240.25504618)","110",14.RW.11.050,7.75000000000,> 5 - 25 mg/L NO3,557900.00000000000,4789900.00000000000,"29",GC
"POINT (67508.5891983685 4806698.2932066)","111",14.RW.11.060,5.67244444444,> 5 - 25 mg/L NO3,554300.00000000000,4793100.00000000000,"29",GC
"POINT (65410.0937108164 4808256.2870672)","112",14.RW.11.070,11.87500000000,> 5 - 25 mg/L NO3,552100.00000000000,4794500.00000000000,"29",GC
"POINT (49770.3142278774 4809480.64954239)","113",14.RW.11.080,19.31985714290,> 5 - 25 mg/L NO3,536450.00000000000,4794597.00000000000,"29",GC
"POINT (94653.1669969853 4791584.11446893)","114",14.RW.12.020,8.09633333333,> 5 - 25 mg/L NO3,582400.00000000000,4780000.00000000000,"29",GC
"POINT (92512.6031099135 4793947.91869183)","115",14.RW.12.030,8.97500000000,> 5 - 25 mg/L NO3,580100.00000000000,4782200.00000000000,"29",GC
"POINT (89610.5826131265 4801088.16761673)","116",14.RW.12.040,8.16777777778,> 5 - 25 mg/L NO3,576700.00000000000,4789100.00000000000,"29",GC
"POINT (83000.4731989712 4808962.28808614)","117",14.RW.12.050,4.64533333333,≤ 5 mg/L NO3,569556.00000000000,4796464.00000000000,"29",GC
"POINT (85207.4907387911 4797389.47133908)","118",14.RW.12.060,5.20866666667,> 5 - 25 mg/L NO3,572582.00000000000,4785103.00000000000,"29",GC
"POINT (87091.824104133 4789766.56562551)","119",14.RW.12.070,5.37966666667,> 5 - 25 mg/L NO3,575003.00000000000,4777650.00000000000,"29",GC
"POINT (80402.6143249477 4804363.05246544)","120",14.RW.12.080,6.65000000000,> 5 - 25 mg/L NO3,567300.00000000000,4791700.00000000000,"29",GC
"POINT (77753.4355006492 4803850.48012747)","121",14.RW.12.090,7.39853846154,> 5 - 25 mg/L NO3,564700.00000000000,4791000.00000000000,"29",GC
"POINT (79825.6290783134 4794038.023805)","122",14.RW.12.100,8.27142857143,> 5 - 25 mg/L NO3,567465.00000000000,4781382.00000000000,"29",GC
"POINT (74001.9264403633 4813197.81247065)","123",14.RW.12.110,14.00000000000,> 5 - 25 mg/L NO3,560296.00000000000,4800034.00000000000,"29",GC
"POINT (83080.0930095954 4822642.36587508)","124",14.RW.12.120,5.26033333333,> 5 - 25 mg/L NO3,568653.00000000000,4810086.00000000000,"29",GC
"POINT (110568.268869491 4825079.65881361)","125",14.RW.13.020,1.54000000000,≤ 5 mg/L NO3,595842.00000000000,4814489.00000000000,"29",GC
"POINT (109344.980491101 4823272.78304922)","126",14.RW.13.025,1.66300000000,≤ 5 mg/L NO3,594754.00000000000,4812602.00000000000,"29",GC
"POINT (106563.115635594 4821663.77573929)","127",14.RW.13.030,1.80000000000,≤ 5 mg/L NO3,592100.00000000000,4810800.00000000000,"29",GC
"POINT (96071.3360330935 4815371.63449126)","128",14.RW.13.040,2.05000000000,≤ 5 mg/L NO3,582107.00000000000,4803782.00000000000,"29",GC
"POINT (86688.9521917458 4820486.97517995)","129",14.RW.13.050,2.73858333333,≤ 5 mg/L NO3,572400.00000000000,4808200.00000000000,"29",GC
"POINT (85493.9441312512 4820814.36719739)","130",14.RW.13.060,2.32233333333,≤ 5 mg/L NO3,571187.00000000000,4808440.00000000000,"29",GC
"POINT (92176.1372469045 4839561.79927749)","131",14.RW.14.030,5.75622222222,> 5 - 25 mg/L NO3,576489.00000000000,4827582.00000000000,"29",GC
"POINT (89783.2606032708 4832720.81267673)","132",14.RW.14.040,3.39433333333,≤ 5 mg/L NO3,574600.00000000000,4820600.00000000000,"29",GC
"POINT (90059.4625750416 4840921.65324629)","133",14.RW.14.050,2.01985714286,≤ 5 mg/L NO3,574284.00000000000,4828783.00000000000,"29",GC
"POINT (84228.5892467432 4832318.90687724)","134",14.RW.14.060,3.03333333333,≤ 5 mg/L NO3,569100.00000000000,4819800.00000000000,"29",GC
"POINT (85812.1746109532 4827583.89937932)","135",14.RW.14.070,4.45666666667,≤ 5 mg/L NO3,571017.00000000000,4815201.00000000000,"29",GC
"POINT (83555.3791521407 4829956.33846575)","136",14.RW.14.080,4.42455555556,≤ 5 mg/L NO3,568600.00000000000,4817400.00000000000,"29",GC
"POINT (114303.245889084 4848121.35174399)","137",14.RW.15.020,1.20466666667,≤ 5 mg/L NO3,597900.00000000000,4837700.00000000000,"29",GC
"POINT (107521.789247276 4834397.69100621)","138",14.RW.15.030,1.55733333333,≤ 5 mg/L NO3,592138.00000000000,4823547.00000000000,"29",GC
"POINT (109376.508106813 4846025.943115)","139",14.RW.15.040,4.43433333333,≤ 5 mg/L NO3,593146.00000000000,4835258.00000000000,"29",GC
"POINT (104434.86343674 4836683.21077725)","140",14.RW.15.050,3.37500000000,≤ 5 mg/L NO3,588900.00000000000,4825600.00000000000,"29",GC
"POINT (103949.524642054 4843850.00796197)","141",14.RW.15.060,2.95846153846,≤ 5 mg/L NO3,587900.00000000000,4832700.00000000000,"29",GC
"POINT (95075.5841331231 4842684.96479606)","142",14.RW.15.070,2.52233333333,≤ 5 mg/L NO3,579150.00000000000,4830900.00000000000,"29",GC
"POINT (104908.924486177 4853407.18636174)","143",14.RW.15.080,2.92833333333,≤ 5 mg/L NO3,588165.00000000000,4842284.00000000000,"29",GC
"POINT (99432.6165013215 4839209.05432719)","144",14.RW.15.090,5.77833333333,> 5 - 25 mg/L NO3,583738.00000000000,4827754.00000000000,"29",GC
"POINT (122441.286493358 4847335.30069401)","145",14.RW.16.010,5.03233333333,> 5 - 25 mg/L NO3,606060.00000000000,4837505.00000000000,"29",GC
"POINT (116158.374773191 4833524.67491188)","146",14.RW.16.030,0.95666666667,≤ 5 mg/L NO3,600800.00000000000,4823300.00000000000,"29",GC
"POINT (120233.890490701 4848193.35543939)","147",14.RW.16.040,2.14453333333,≤ 5 mg/L NO3,603800.00000000000,4838200.00000000000,"29",GC
"POINT (146489.97555633 4832233.88739051)","148",14.RW.17.010,3.09991666667,≤ 5 mg/L NO3,631100.00000000000,4824200.00000000000,"29",GC
"POINT (149759.368747548 4834406.73689302)","149",14.RW.17.020,3.10570000000,≤ 5 mg/L NO3,634200.00000000000,4826600.00000000000,"29",GC
"POINT (141294.327337244 4834355.74695731)","150",14.RW.17.040,1.32700000000,≤ 5 mg/L NO3,625772.00000000000,4825939.00000000000,"29",GC
"POINT (142573.481962226 4829485.18807733)","151",14.RW.17.060,2.66666666667,≤ 5 mg/L NO3,627397.00000000000,4821180.00000000000,"29",GC
"POINT (145518.236669177 4845154.90309304)","152",14.RW.17.070,2.26433333333,≤ 5 mg/L NO3,629200.00000000000,4837000.00000000000,"29",GC
"POINT (136819.287863276 4842174.96066112)","153",14.RW.17.090,4.07500000000,≤ 5 mg/L NO3,620751.00000000000,4833404.00000000000,"29",GC
"POINT (137551.397480437 4845833.93015655)","154",14.RW.17.100,3.43933333333,≤ 5 mg/L NO3,621216.00000000000,4837101.00000000000,"29",GC
"POINT (128189.803030941 4833256.68707811)","155",14.RW.17.110,2.76666666667,≤ 5 mg/L NO3,612800.00000000000,4823900.00000000000,"29",GC
"POINT (129680.477010037 4839977.04204945)","156",14.RW.17.120,2.66515789474,≤ 5 mg/L NO3,613800.00000000000,4830700.00000000000,"29",GC
"POINT (133588.313796203 4844934.42427554)","157",14.RW.17.130,3.85666666667,≤ 5 mg/L NO3,617334.00000000000,4835919.00000000000,"29",GC
"POINT (149506.542156755 4822578.9763769)","158",14.RW.18.010,4.44825000000,≤ 5 mg/L NO3,634800.00000000000,4814800.00000000000,"29",GC
"POINT (154108.028243692 4826868.3110558)","159",14.RW.18.020,5.31900000000,> 5 - 25 mg/L NO3,639075.00000000000,4819404.00000000000,"29",GC
"POINT (160769.302031778 4827771.02035406)","160",14.RW.19.020,2.33533333333,≤ 5 mg/L NO3,645646.00000000000,4820783.00000000000,"29",GC
"POINT (128626.478175556 4814935.54166169)","161",NO00230001,1.00500000000,≤ 5 mg/L NO3,614553.00000000000,4805686.00000000000,"29",CHMS
"POINT (99893.8391824795 4797456.34628212)","162",NO00460001,1.30750000000,≤ 5 mg/L NO3,587197.00000000000,4786221.00000000000,"29",CHMS
"POINT (102763.272496196 4793247.335684)","163",NO00460002,3.30000000000,≤ 5 mg/L NO3,590355.00000000000,4782236.00000000000,"29",CHMS
"POINT (119515.677186733 4804530.04235475)","164",NO00470002,2.42750000000,≤ 5 mg/L NO3,606227.00000000000,4794670.00000000000,"29",CHMS
"POINT (117841.762345493 4805299.32844752)","165",NO00470003,2.19125000000,≤ 5 mg/L NO3,604505.00000000000,4795316.00000000000,"29",CHMS
"POINT (126303.357532219 4792082.89132124)","166",NO00470008,3.87000000000,≤ 5 mg/L NO3,613878.00000000000,4782761.00000000000,"29",CHMS
"POINT (131218.897645015 4789768.70023609)","167",NO00470009,5.91500000000,> 5 - 25 mg/L NO3,618939.00000000000,4780808.00000000000,"29",CHMS
"POINT (108522.7069686 4793194.9887188)","168",NO00470010,4.14000000000,≤ 5 mg/L NO3,596093.00000000000,4782596.00000000000,"29",CHMS
"POINT (130976.782826402 4805192.87033756)","169",NO00470012,2.33333333333,≤ 5 mg/L NO3,617593.00000000000,4796152.00000000000,"29",CHMS
"POINT (136122.007785014 4790709.68453294)","170",NO00480001,9.56636363636,> 5 - 25 mg/L NO3,623755.00000000000,4782096.00000000000,"29",CHMS
"POINT (134802.976525688 4803166.25213268)","171",NO00480003,4.40333333333,≤ 5 mg/L NO3,621549.00000000000,4794408.00000000000,"29",CHMS
"POINT (138414.229272228 4796870.18919056)","172",NO00480004,6.93250000000,> 5 - 25 mg/L NO3,625597.00000000000,4788396.00000000000,"29",CHMS
"POINT (140277.699963003 4794525.41107948)","173",NO00480012,8.32166666667,> 5 - 25 mg/L NO3,627621.00000000000,4786194.00000000000,"29",CHMS
"POINT (118624.068358344 4787969.07868867)","174",NO00720002,3.39000000000,≤ 5 mg/L NO3,606525.00000000000,4778115.00000000000,"29",CHMS
"POINT (126121.48007774 4773789.59003405)","175",NO00720003,4.74333333333,≤ 5 mg/L NO3,615004.00000000000,4764530.00000000000,"29",CHMS
"POINT (131103.020850824 4765658.28980677)","176",NO00720007,4.86125000000,≤ 5 mg/L NO3,620545.00000000000,4756787.00000000000,"29",CHMS
"POINT (115855.968921264 4790256.72408625)","177",NO00720014,3.57000000000,≤ 5 mg/L NO3,603605.00000000000,4780195.00000000000,"29",CHMS
"POINT (125113.906311989 4785755.84589801)","178",NO00720016,6.38000000000,> 5 - 25 mg/L NO3,613146.00000000000,4776375.00000000000,"29",CHMS
"POINT (125335.90235445 4771247.17295479)","179",NO00720022,2.84000000000,≤ 5 mg/L NO3,614403.00000000000,4761942.00000000000,"29",CHMS
